,Zusammenfassung,Min_Kompressionsrate,Max_Kompressionsrate,Endgueltige_Kompressionsrate,länge Zusammenfassung,länge Ausgangstext,text,text_rank_text,tokens_gesamt,token_text_rank,desired_compression_rate,text_rank_compression_rate,current_compression_rate,compression_difference,reduction_multiplier,ent_com_rate
0,The Administration of Union Territory Daman and Diu has revoked its order that made it compulsory for women to tie rakhis to their male colleagues on the occasion of Rakshabandhan on August 7.,34,84,100.0,33,33,The Administration of Union Territory Daman and Diu has revoked its order that made it compulsory for women to tie rakhis to their male colleagues on the occasion of Rakshabandhan on August 7. The administration was forced to withdraw the decision within 24 hours of issuing the circular after it received flak from employees and was slammed on social media.,The Administration of Union Territory Daman and Diu has revoked its order that made it compulsory for women to tie rakhis to their male colleagues on the occasion of Rakshabandhan on August 7.,60,33,0.54,0.55,0.55,-0.010000000000000009,0.9818181818181818,0.55
1,"Malaika Arora slammed an Instagram user who trolled her for ""divorcing a rich man"" and ""having fun with the alimony"" ""Her life now is all about wearing short clothes, going to gym or salon, enjoying vacation[s],"" the user commented.",40,90,100.0,39,39,"Malaika Arora slammed an Instagram user who trolled her for ""divorcing a rich man"" and ""having fun with the alimony"". ""Her life now is all about wearing short clothes, going to gym or salon, enjoying vacation[s],"" the user commented. Malaika responded, ""You certainly got to get your damn facts right before spewing sh*t on me...when you know nothing about me.""","Malaika Arora slammed an Instagram user who trolled her for ""divorcing a rich man"" and ""having fun with the alimony"". ""Her life now is all about wearing short clothes, going to gym or salon, enjoying vacation[s],"" the user commented.",60,39,0.46,0.65,0.65,-0.19,0.7076923076923077,0.65
2,"Bihar Health Minister defined virgin as being an unmarried woman and did not consider the term objectionable. The institute, however, faced strong backlash for asking new recruits to declare their virginity in the form.",36,86,97.14285714285714,34,35,"The Indira Gandhi Institute of Medical Sciences (IGIMS) in Patna on Thursday made corrections in its Marital Declaration Form by changing 'Virgin' option to 'Unmarried'. Earlier, Bihar Health Minister defined virgin as being an unmarried woman and did not consider the term objectionable. The institute, however, faced strong backlash for asking new recruits to declare their virginity in the form.","Earlier, Bihar Health Minister defined virgin as being an unmarried woman and did not consider the term objectionable. The institute, however, faced strong backlash for asking new recruits to declare their virginity in the form.",60,35,0.55,0.5833333333333334,0.5833333333333334,-0.033333333333333326,0.9428571428571428,0.5666666666666667
3,"Lashkar-e-Taiba's Kashmir commander Abu Dujana was killed by security forces. ""Hum nikley they shaheed hone (had left home for martyrdom),"" he added",42,92,55.00000000000001,22,40,"Lashkar-e-Taiba's Kashmir commander Abu Dujana, who was killed by security forces, said ""Kabhi hum aage, kabhi aap, aaj aapne pakad liya, mubarak ho aapko (Today you caught me. Congratulations)"" after being caught. He added that he won't surrender, and whatever is in his fate will happen to him. ""Hum nikley they shaheed hone (had left home for martyrdom),"" he added.","Lashkar-e-Taiba's Kashmir commander Abu Dujana, who was killed by security forces, said ""Kabhi hum aage, kabhi aap, aaj aapne pakad liya, mubarak ho aapko (Today you caught me. ""Hum nikley they shaheed hone (had left home for martyrdom),"" he added.",60,40,0.32,0.6666666666666666,0.6666666666666666,-0.3466666666666666,0.48000000000000004,0.36666666666666664
4,Hotels in Maharashtra will train their staff to spot signs of sex trafficking. 'Do not disturb' signs will be left on room doors for days. A mobile phone app called Rescue Me will allow staff to alert police.,53,103,74.50980392156863,38,51,"Hotels in Maharashtra will train their staff to spot signs of sex trafficking, including frequent requests for bed linen changes and 'Do not disturb' signs left on room doors for days. A mobile phone app called Rescue Me, which will allow staff to alert police of suspicious behaviour, will be developed. The initiative has been backed by the Maharashtra government.","Hotels in Maharashtra will train their staff to spot signs of sex trafficking, including frequent requests for bed linen changes and 'Do not disturb' signs left on room doors for days. A mobile phone app called Rescue Me, which will allow staff to alert police of suspicious behaviour, will be developed.",60,51,0.69,0.85,0.85,-0.16000000000000003,0.8117647058823529,0.6333333333333333
5,"Man, 32, was found hanging inside the washroom of a Delhi police station. Police said the man was named as a suspect in the kidnapping case of a married woman. He had been in a relationship with the woman earlier, police said.",50,100,87.5,42,48,A 32-year-old man on Wednesday was found hanging inside the washroom of a Delhi police station after he was called for interrogation. His family alleged that he could have been emotionally and physically tortured. Police said the man was named as a suspect in the kidnapping case of a married woman with whom he had been in a relationship earlier.,A 32-year-old man on Wednesday was found hanging inside the washroom of a Delhi police station after he was called for interrogation. Police said the man was named as a suspect in the kidnapping case of a married woman with whom he had been in a relationship earlier.,60,48,0.69,0.8,0.8,-0.1100000000000001,0.8624999999999999,0.7
6,Delhi High Court reduced the compensation awarded to a motor accident victim by 45% after it found negligence on the part of both parties. A compensation of ?10 lakh was earlier awarded to the victim.,37,87,97.22222222222221,35,36,"The Delhi High Court reduced the compensation awarded to a motor accident victim by 45% after it found negligence on the part of both parties. A compensation of ?10 lakh was earlier awarded to the victim. The court observed, ""It's possible despite the vehicle being driven in permissible limit, an accident can occur when a jaywalker suddenly appears on road."" ",The Delhi High Court reduced the compensation awarded to a motor accident victim by 45% after it found negligence on the part of both parties. A compensation of ?10 lakh was earlier awarded to the victim.,61,36,0.59,0.6,0.5901639344262295,-0.00016393442622952836,0.9997222222222222,0.5737704918032787
7,60-year-old Dalit woman was allegedly lynched in Agra. Villagers thought she was behind recent cases of chopping hair of sleeping women.,27,77,80.76923076923077,21,26,"A 60-year old Dalit woman was allegedly lynched in Agra after villagers thought that she was behind the recent cases of chopping hair of sleeping women. The family members of the woman who left home around 4 am on Wednesday said, ""She pleaded that she had lost her way but they took her as one responsible for chopping women hair.""",A 60-year old Dalit woman was allegedly lynched in Agra after villagers thought that she was behind the recent cases of chopping hair of sleeping women.,60,26,0.3,0.43333333333333335,0.43333333333333335,-0.13333333333333336,0.6923076923076923,0.35
8,"The Pawan Hans helicopter was flying at a critically low height. The report further mentioned that the instructor, despite being aware of the low height, didn't take control of the helicopter. The trainee pilot wasn't able to manage the situation.",63,113,66.66666666666666,40,60,"An inquiry by the Aircraft Accident Investigation Bureau found that the Pawan Hans helicopter was flying at a critically low height, resulting in its crash near Bombay High in 2015. The report further mentioned that the instructor, despite being aware of the low height, didn't take control of the helicopter after the trainee pilot wasn?t able to manage the situation. ","An inquiry by the Aircraft Accident Investigation Bureau found that the Pawan Hans helicopter was flying at a critically low height, resulting in its crash near Bombay High in 2015. The report further mentioned that the instructor, despite being aware of the low height, didn't take control of the helicopter after the trainee pilot wasn?t able to manage the situation.",61,60,0.51,1.0,0.9836065573770492,-0.47360655737704915,0.5185000000000001,0.6557377049180327
9,Congress party has opened a bank called 'State Bank of Tomato' in Uttar Pradesh's Lucknow. People can get interests on deposits and also get vegetables on loan in the bank.,43,93,73.17073170731707,30,41,"The Congress party has opened a bank called 'State Bank of Tomato' in Uttar Pradesh's Lucknow, in a protest against the rising prices of the vegetable. People can get interests on deposits and also get vegetables on loan in the bank. ""I have deposited 0.5 Kg tomatoes, will get 1 kg after 6 months,"" said a man.","The Congress party has opened a bank called 'State Bank of Tomato' in Uttar Pradesh's Lucknow, in a protest against the rising prices of the vegetable. People can get interests on deposits and also get vegetables on loan in the bank.",57,41,0.4,0.7192982456140351,0.7192982456140351,-0.3192982456140351,0.5560975609756098,0.5263157894736842
